primary_name,type
FERRAPLUS (Oral Pill),rxterm
FERREX 150 FORTE PLUS (Oral Pill),rxterm
FOLBALIN (Oral Pill),rxterm
Calcium carbonate/Folic acid/Pyridoxine/Vitamin B12 XR (Oral Pill),rxterm
FOLBECAL XR (Oral Pill),rxterm
FOLGARD OS (Oral Pill),rxterm
Ascorbic acid/Ferrous fumarate/Folic acid/Niacin/Polysaccharide iron complex (Oral Pill),rxterm
Ascorbic acid/Folic acid/Iron carbonyl/Vitamin B12 (Oral Pill),rxterm
IFEREX 150 FORTE (Oral Pill),rxterm
FLEXALL (Topical),rxterm
FOLINATAL PLUS B XR (Oral Pill),rxterm
POLAR FROST (Topical),rxterm
KOLORZ (Oral Foam),rxterm
Ferrous fumarate (Chewable),rxterm
flavoxATE (Oral Pill),rxterm
Factor XIII (Injectable),rxterm
Sodium fluoride/Xylitol (Chewable),rxterm
FLUOR A DAY CHEWABLE (Chewable),rxterm
FLURA-DROPS (Oral Liquid),rxterm
GENERESS FE 28 (Pack),rxterm
Famotidine/Ibuprofen (Oral Pill),rxterm
Ascorbic acid/Calcium citrate/Cholecalciferol/Folic acid/Iron carbonyl/Pyridoxine (Oral Pill),rxterm
Ascorbic acid/Calcium citrate/Cholecalciferol/Folic acid/Iron carbonyl/Pyridoxine (Pack),rxterm
PHOS-FLUR (Toothpaste),rxterm
Fidaxomicin (Oral Pill),rxterm
fentaNYL (Nasal),rxterm
WAL-FEX (Oral Pill),rxterm
Betaine/Folic acid/Mecobalamin/Pyridoxine (Oral Pill),rxterm
Azelate/Cupric oxide/Folic acid/Niacinamide/Pyridoxine/Zinc oxide (Oral Pill),rxterm
FOLGARD (Oral Pill),rxterm
FIRAZYR (Injectable),rxterm
"AMINOSYN II 8.5 % WITH ELECTROLYTES, SULFITE-FREE (Injectable)",rxterm
"AMINOSYN 8.5 % WITH ELECTROLYTES, SULFITE-FREE (Injectable)",rxterm
WAL-FEX D XR (Oral Pill),rxterm
FERRIPROX (Oral Pill),rxterm
Fluocinolone (Topical),rxterm
Fluocinolone/Hydroquinone/Tretinoin (Topical),rxterm
Fluocinolone (Shampoo),rxterm
Fluocinolone (Otic),rxterm
DERMA-SMOOTHE FS (Topical),rxterm
Fluocinolone (Implant),rxterm
FERAHEME (Injectable),rxterm
Fluocinolone/Neomycin (Topical),rxterm
ZOOBY FLUORIDE FOAM (Oral Foam),rxterm
FAST FREEZE (Topical),rxterm
FORFIVO XR (Oral Pill),rxterm
FLURA-LOZ (Chewable),rxterm
PHOS-FLUR (Mouthwash),rxterm
BAND-AID HURT-FREE (Topical),rxterm
FLORAJEN3 (Oral Pill),rxterm
fentaNYL (Mucosal),rxterm
Cupric oxide/Folic acid/Niacinamide/Zinc oxide (Oral Pill),rxterm
FEM PH (Vaginal),rxterm
Flurbiprofen (Ophthalmic),rxterm
Flunisolide (Inhalant),rxterm
SLOW-MAG REFORMULATED FEB 2012 (Oral Pill),rxterm
FUNGOID-D (Topical),rxterm
Budesonide/Formoterol (Inhalant),rxterm
Formoterol/Mometasone (Inhalant),rxterm
Formoterol (Inhalant),rxterm
BC ORIGINAL FORMULA (Oral Powder),rxterm
VAGISIL ORIGINAL FORMULA (Vaginal),rxterm
Fluorescein/Proparacaine (Ophthalmic),rxterm
FLUORACAINE (Ophthalmic),rxterm
FLUCAINE (Ophthalmic),rxterm
FLAREX (Ophthalmic),rxterm
FIBER CHOICE (Chewable),rxterm
FIBER CHOICE WEIGHT MANAGEMENT (Chewable),rxterm
FEMHRT 0.5/2.5 28 DAY (Pack),rxterm
Yellow fever virus strain 17D-204 live antigen (Injectable),rxterm
FABIOR (Topical),rxterm
Hydrofluoric acid/Phosphoric acid/Sodium fluoride (Oral Gel),rxterm
Bald-faced hornet venom protein (Injectable),rxterm
Flurazepam (Oral Pill),rxterm
FUNGI-NAIL TOE AND FOOT (Topical),rxterm
FALMINA 28 DAY (Pack),rxterm
Fibrinogen/Thrombin (Injectable),rxterm
FLEXALL ULTRA PLUS (Topical),rxterm
FYCOMPA (Oral Pill),rxterm
JUNEL FE 1/20 28 DAY (Pack),rxterm
LOESTRIN FE 1/20 28 DAY (Pack),rxterm
MICROGESTIN FE 1/20 28 DAY (Pack),rxterm
FYCOMPA 2/4 SAMPLE PACK (Pack),rxterm
JUNEL FE 1.5/30 28 DAY (Pack),rxterm
LOESTRIN FE 1.5/30 28 DAY (Pack),rxterm
MICROGESTIN FE 1.5/30 28 DAY (Pack),rxterm
TILIA FE (Pack),rxterm
FOLLISTIM (Injectable),rxterm
FUNGICURE MAXIMUM STRENGTH (Topical),rxterm
WAL-FINATE (Oral Pill),rxterm
PCXX NEUTRAL FOAM (Oral Foam),rxterm
Ascorbic acid/Cholecalciferol/Sodium fluoride/Vitamin A (Oral Liquid),rxterm
Dimethyl fumarate (Oral Pill),rxterm
Dimethyl fumarate (Pack),rxterm
Fluticasone/Vilanterol (Inhalant),rxterm
MINASTRIN 24 FE CHEWABLE 28 DAY (Pack),rxterm
MVC-FLUORIDE (Chewable),rxterm
FIORICET (Oral Pill),rxterm
FETZIMA XR (Oral Pill),rxterm
FETZIMA PACK (Pack),rxterm
FIORICET WITH CODEINE (Oral Pill),rxterm
FORTEO (Injectable),rxterm
Ferric carboxymaltose (Injectable),rxterm
LARIN FE 1/20 (Pack),rxterm
LARIN FE 1.5/30 (Pack),rxterm
ZENCHENT FE 28 DAY (Pack),rxterm
Sodium fluoride (Oral Foam),rxterm
Factor IX/Factor VII/Factor X/Protein C/Protein S/Prothrombin (Injectable),rxterm
WYMZYA FE 28 DAY (Pack),rxterm
Sodium fluoride (Oral Gel),rxterm
LOMEDIA 24 FE (Pack),rxterm
FARXIGA (Oral Pill),rxterm
FREEZONE (Topical),rxterm
FLEX24 PERFORMANCE (Topical),rxterm
FERRIMIN 150 (Oral Pill),rxterm
FALLBACK SOLO (Oral Pill),rxterm
PRED FORTE (Ophthalmic),rxterm
TARINA FE 1/20 28 DAY (Pack),rxterm
FOSRENOL (Oral Powder),rxterm
Factor VIII (Injectable),rxterm
Cholecalciferol/Folic acid (Oral Pill),rxterm
Ferric citrate (Oral Pill),rxterm
Cholecalciferol/Sodium fluoride (Oral Liquid),rxterm
FORTESTA (Topical),rxterm
FARYDAK (Oral Pill),rxterm
Folic acid/Lacticaseibacillus casei (Oral Pill),rxterm
LARIN 24 FE 1/20 (Pack),rxterm
LAYOLIS FE 28 (Pack),rxterm
JUNEL FE 24 1/20 28 DAY (Pack),rxterm
FORTAZ (Injectable),rxterm
FEIBA (Injectable),rxterm
Factor VIII/Von Willebrand factor (Injectable),rxterm
Flibanserin (Oral Pill),rxterm
Factor IX (Injectable),rxterm
Coagulation factor IX recombinant immunoglobulin G1 fusion protein (Injectable),rxterm
Fosphenytoin (Injectable),rxterm
WAL-FEX (Oral Liquid),rxterm
Factor IX complex (Injectable),rxterm
FERRIPROX (Oral Liquid),rxterm
Factor X (Injectable),rxterm
Furosemide (Injectable),rxterm
FUSILEV (Injectable),rxterm
Fluconazole (Injectable),rxterm
FYCOMPA 4/6 SAMPLE PACK (Pack),rxterm
MICROGESTIN 24 FE 28 DAY (Pack),rxterm
BLISOVI 24 FE 1/20 28 DAY (Pack),rxterm
BLISOVI 21 FE 1/20 28 DAY PACK (Pack),rxterm
KAITLIB FE 28 DAY (Pack),rxterm
Plasma protein fraction (Injectable),rxterm
BLISOVI 21 FE 1.5/30 28 DAY PACK (Pack),rxterm
Fenoldopam (Injectable),rxterm
Fosaprepitant (Injectable),rxterm
Foscarnet (Injectable),rxterm
fentaNYL (Injectable),rxterm
FYAVOLV (Oral Pill),rxterm
fentaNYL (Pack),rxterm
Fludarabine (Injectable),rxterm
FLEXBUMIN (Injectable),rxterm
DUO FUSION (Chewable),rxterm
FYCOMPA (Oral Liquid),rxterm
Formoterol/Glycopyrronium (Inhalant),rxterm
Ferric pyrophosphate (Injectable),rxterm
Ciprofloxacin/Fluocinolone (Otic),rxterm
FOLOTYN (Injectable),rxterm
FEMYNOR 28 DAY (Pack),rxterm
Azelastine/Fluticasone (Nasal),rxterm
Flunisolide (Nasal),rxterm
Fluticasone (Nasal),rxterm
ALLER-FLO (Nasal),rxterm
FLONASE (Nasal),rxterm
FENORTHO (Oral Pill),rxterm
FABRAZYME (Injectable),rxterm
NIVA-FOL (Oral Pill),rxterm
FLEBOGAMMA (Injectable),rxterm
TRI FEMYNOR 28 DAY (Pack),rxterm
Folic acid/Inositol (Oral Solution Powder),rxterm
NEXESTA FE 28 DAY (Pack),rxterm
FLONASE SENSIMIST (Nasal),rxterm
MIBELAS 24 FE CHEWABLE 28 DAY (Pack),rxterm
FREE AND CLEAR (Shampoo),rxterm
FAYOSIM 91 DAY (Pack),rxterm
"HUMIRA PEN 80 MG/0.8 ML - STARTER PACKAGE FOR CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA (Pack)",rxterm
KISQALI FEMARA CO-PACK 200 (Pack),rxterm
KISQALI FEMARA CO-PACK 400 (Pack),rxterm
KISQALI FEMARA CO-PACK 600 (Pack),rxterm
Folic acid/Lacticaseibacillus casei (Oral Powder),rxterm
AUROVELA FE 1/20 28 DAY (Pack),rxterm
AUROVELA FE 24 1/20 28 DAY (Pack),rxterm
FLOLIPID (Oral Liquid),rxterm
MELODETTA 24 FE CHEWABLE 28 DAY (Pack),rxterm
Fluticasone/Umeclidinium/Vilanterol (Inhalant),rxterm
FIBRYGA (Injectable),rxterm
FIASP (Injectable),rxterm
AUROVELA FE 1.5/30 28 DAY (Pack),rxterm
Calcium carbonate/Sodium fluoride (Oral Pill),rxterm
FASENRA (Injectable),rxterm
HAILEY 24 FE 28 DAY (Pack),rxterm
HAILEY FE 1/20 28 DAY (Pack),rxterm
Folic acid/Vitamin B12 (Oral Pill),rxterm
FLUTICARE (Nasal),rxterm
Bismuth-formic-iodide (Topical),rxterm
FIRVANQ (Oral Liquid),rxterm
"SUBVENITE GREEN (FOR PATIENTS TAKING CARBAMAZEPINE, PHENYTOIN, PHENOBARBITAL, OR PRIMIDONE AND NOT TAKING VALPROATE) (Pack)",rxterm
"SUBVENITE ORANGE (FOR PATIENTS NOT TAKING CARBAMAZEPINE, PHENYTOIN, PHENOBARBITAL, PRIMIDONE, OR VALPROATE) (Pack)",rxterm
SUBVENITE BLUE (FOR PATIENTS TAKING VALPROATE) (Pack),rxterm
Fostamatinib (Oral Pill),rxterm
Flumazenil (Injectable),rxterm
FLAC (Otic),rxterm
FULPHILA (Injectable),rxterm
Fish oil (containing omega-3 acids) (Injectable),rxterm
Fremanezumab (Injectable),rxterm
FORMA-RAY (Topical),rxterm
cloBAZam (Oral Film),rxterm
Benoxinate/Fluorescein (Ophthalmic),rxterm
HAILEY FE 1.5/30 28 DAY (Pack),rxterm
FLETCHERS CASTORIA (Oral Liquid),rxterm
FLORICAL (Oral Pill),rxterm
SYMPAZAN (Oral Film),rxterm
TARINA 24 FE 1/20 28 DAY (Pack),rxterm
FIRDAPSE (Oral Pill),rxterm
FOILLE (Topical),rxterm
EX-LAX MAXIMUM RELIEF FORMULA (Oral Pill),rxterm
Fedratinib (Oral Pill),rxterm
Aclidinium/Formoterol (Inhalant),rxterm
Diroximel fumarate (Oral Pill),rxterm
FETROJA (Injectable),rxterm
Riluzole (Oral Film),rxterm
EXSERVAN (Oral Film),rxterm
Ferric derisomaltose (Injectable),rxterm
Fidaxomicin (Oral Liquid),rxterm
CHARLOTTE 24 FE CHEWABLE 28 DAY (Pack),rxterm
MEDERMA FOR KIDS (Topical),rxterm
FENSOLVI (Injectable),rxterm
DARZALEX FASPRO (Injectable),rxterm
Fostemsavir XR (Oral Pill),rxterm
Fenfluramine (Oral Liquid),rxterm
FINTEPLA (Oral Liquid),rxterm
Budesonide/Formoterol/Glycopyrronium (Inhalant),rxterm
Monomethyl fumarate (Oral Pill),rxterm
HUMIRA PEN 80 MG/0.8 ML - STARTER PACKAGE FOR PEDIATRIC ULCERATIVE COLITIS (Pack),rxterm
Fosdenopterin (Injectable),rxterm
FOTIVDA (Oral Pill),rxterm
Ferric maltol (Oral Pill),rxterm
Finerenone (Oral Pill),rxterm
Folic acid/Vitamin B12 (Oral Disintegrating),rxterm
Fexinidazole (Oral Pill),rxterm
Fexinidazole (Pack),rxterm
FOLDITAM (Oral Pill),rxterm
FYARRO (Injectable),rxterm
FYREMADEL (Injectable),rxterm
Finasteride/Tadalafil (Oral Pill),rxterm
Faricimab (Injectable),rxterm
FLEQSUVY (Oral Liquid),rxterm
Calcium carbonate/Folic acid/Magnesium carbonate (Oral Pill),rxterm
Ascorbic acid/Ferrous sulfate XR (Oral Pill),rxterm
Stannous fluoride (Paste),rxterm
FYLNETRA (Injectable),rxterm
FLUORIMAX SENSITIVE (Toothpaste),rxterm
FLUORIMAX (Toothpaste),rxterm
FLULAVAL QUADRIVALENT 2022-2023 (Injectable),rxterm
FLUZONE QUADRIVALENT 2022-2023 (Injectable),rxterm
FLUBLOK QUADRIVALENT 2022-2023 (Injectable),rxterm
FLUCELVAX QUADRIVALENT 2022-2023 (Injectable),rxterm
FINZALA 24 FE CHEWABLE 28 DAY (Pack),rxterm
Fingolimod (Oral Disintegrating),rxterm
FUROSCIX (Injectable),rxterm
FLONASE NIGHTTIME (Oral Pill),rxterm
Allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen (Topical),rxterm
"Fecal microbiota, live (Rectal)",rxterm
Futibatinib (Oral Pill),rxterm
Futibatinib (Pack),rxterm
FILSPARI (Oral Pill),rxterm
"Antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein (Injectable)",rxterm
Rizatriptan (Oral Film),rxterm
"Fecal microbiota spores, live (Oral Pill)",rxterm
FETZIMA TITRATION SAMPLE PACK (Pack),rxterm
Fezolinetant (Oral Pill),rxterm
Fructooligosaccharide (Chewable),rxterm
"YUFLYMA AUTO-INJECTOR 40 MG/0.4 ML STARTER PACKAGE FOR CROHN'S DISEASE, PEDIATRIC CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA (Pack)",rxterm
IDACIO PEN 40 MG/0.8 ML STARTER PACKAGE FOR CROHN'S DISEASE OR ULCERATIVE COLITIS (Pack),rxterm
CYLTEZO PEN 40 MG/0.8 ML STARTER PACKAGE FOR CROHN'S DISEASE OR ULCERATIVE COLITIS (Pack),rxterm
FYCOMPA 2 MG 2-WEEK SAMPLE KIT (Pack),rxterm
Nadofaragene firadenovec (Topical),rxterm
FOCINVEZ (Injectable),rxterm
"YUFLYMA AUTO-INJECTOR 80 MG/0.8 ML STARTER PACKAGE FOR CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA (Pack)",rxterm
Fruquintinib (Oral Pill),rxterm
FRUZAQLA (Oral Pill),rxterm
Ferrous sulfate/Folic acid (Oral Pill),rxterm
FABHALTA (Oral Pill),rxterm
Cholecalciferol/Levomefolate (Oral Pill),rxterm
FOLIXATE (Oral Pill),rxterm
YUFLYMA PREFILLED SYRINGE 80 MG/0.8 ML AND 40 MG/0.4 ML STARTER PACKAGE FOR PEDIATRIC CROHN'S DISEASE (Pack),rxterm
Ferrous bisglycinate (Oral Pill),rxterm
RIZAFILM (Oral Film),rxterm
FILSUVEZ (Topical),rxterm
FLUZONE QUADRIVALENT 2024 SOUTHERN HEMISPHERE (Injectable),rxterm
Fidanacogene elaparvovec (Injectable),rxterm
Fidanacogene elaparvovec (Pack),rxterm
FLUARIX 2024-2025 (Injectable),rxterm
FLULAVAL 2024-2025 (Injectable),rxterm
FLUAD 2024-2025 (Injectable),rxterm
FLUZONE 2024-2025 (Injectable),rxterm
FLUBLOK 2024-2025 (Injectable),rxterm
FLUCELVAX 2024-2025 (Injectable),rxterm
FLUZONE QUADRIVALENT 2024-2025 (Injectable),rxterm
FLUMIST 2024-2025 (Nasal),rxterm
FEMLYV 24 ODT 28 DAY (Pack),rxterm
ARIPiprazole (Oral Film),rxterm
OPIPZA (Oral Film),rxterm
FLORASTOR (Oral Suspension Powder),rxterm
FUNGIZYL (Topical),rxterm
FENOPRON (Oral Pill),rxterm
BENEFIBER FIBER (Chewable),rxterm
FRINDOVYX (Injectable),rxterm
XELRIA FE 28 DAY (Pack),rxterm
FEIRZA 1/20 28 DAY (Pack),rxterm
FEIRZA 1.5/30 28 DAY (Pack),rxterm
XARAH FE 28 DAY (Pack),rxterm
Calcium carbonate/Famotidine/Magnesium hydroxide (Chewable),rxterm
Fe heme polypeptide (Oral Pill),rxterm
Floxuridine (Injectable),rxterm
Fomepizole (Injectable),rxterm
Fructose/Glucose/Phosphoric acid (Oral Liquid),rxterm
Sodium fluoride (Oral Pill),rxterm
Ascorbic acid/Ferrous fumarate/Vitamin B12 (Oral Pill),rxterm
Digoxin antibodies Fab fragments (Injectable),rxterm
Stannous fluoride (Toothpaste),rxterm
FLUORABON (Chewable),rxterm
FOLTRATE (Oral Pill),rxterm
FORANE (Inhalant),rxterm
FREEZ EEZ (Oral Gel),rxterm
TRICHLOR FRESH PAK (Topical),rxterm
Ferric subsulfate solution (Topical),rxterm
Calcium carbonate/Folic acid/Vitamin B complex XR (Oral Pill),rxterm
Fructooligosaccharide/Lactobacillus acidophilus (Chewable),rxterm
Fosamprenavir (Oral Liquid),rxterm
FLORASTOR (Oral Pill),rxterm
FLUOR A DAY (Oral Liquid),rxterm
L-FORMULA (Oral Pill),rxterm
GELATO SODIUM FLUORIDE (Oral Gel),rxterm
Ferrous fumarate/Folic acid/Polysaccharide iron complex (Oral Pill),rxterm
Simethicone (Oral Film),rxterm
GAS-X (Oral Film),rxterm
Phenylephrine (Oral Film),rxterm
ASPER-FLEX (Topical),rxterm
"Sennosides, USP (Oral Film)",rxterm
Ferrous fumarate/Polysaccharide iron complex (Oral Pill),rxterm
PEDIA-LAX (Oral Film),rxterm
Famotidine (Chewable),rxterm
"AMINOSYN II 8.5 %, SULFITE-FREE (Injectable)",rxterm
"AMINOSYN-PF 10 %, SULFITE-FREE (Injectable)",rxterm
CEPACOL SORE THROAT FROM POST NASAL DRIP (Oral Lozenge),rxterm
Folic acid/Vitamin B12 (Sublingual),rxterm
FEOSOL CAPLET (Oral Pill),rxterm
Rabies virus vaccine flury-lep strain (Injectable),rxterm
"AMINOSYN 10%, SULFITE-FREE (Injectable)",rxterm
"AMINOSYN 8.5%, SULFITE-FREE (Injectable)",rxterm
Fibrinogen (Injectable),rxterm
Stannous fluoride (Oral Cream),rxterm
MAXIVISION LUTEIN FORMULA (Oral Pill),rxterm
"AMINOSYN 3.5 % M, SULFITE FREE (Injectable)",rxterm
Fe heme polypeptide/Polysaccharide iron complex (Oral Pill),rxterm
FOSCAVIR (Injectable),rxterm
FIRMAGON (Injectable),rxterm
Ferumoxytol (Injectable),rxterm
Folic acid/Intrinsic factor/Vitamin B12 (Oral Pill),rxterm
LaMICtal XR BLUE PATIENT TITRATION KIT (FOR PATIENTS TAKING VALPROATE) (Pack),rxterm
FULVICIN P/G (Oral Pill),rxterm
FREEZE IT (Topical),rxterm
Calcium ascorbate/Ferrous asparto glycinate/Polysaccharide iron complex/Succinic acid (Oral Pill),rxterm
FERRETTS IPS (Oral Liquid),rxterm
Fexofenadine/Pseudoephedrine XR (Oral Pill),rxterm
Fexofenadine (Oral Pill),rxterm
Fexofenadine (Oral Disintegrating),rxterm
Fexofenadine (Oral Liquid),rxterm
FOLTABS (Oral Pill),rxterm
Ondansetron (Oral Film),rxterm
ZUPLENZ (Oral Film),rxterm
FUNGI-NAIL (Topical),rxterm
FUNGOID (Topical),rxterm
ED FLEX (Oral Pill),rxterm
Ascorbic acid/Ferrous fumarate/Folic acid/Liver stomach concentrate/Vitamin B12 (Oral Pill),rxterm
Ascorbic acid/Ferrous fumarate/Folic acid/Niacinamide/Polysaccharide iron complex (Oral Pill),rxterm
GAVILYTE-G (Oral Solution Powder),rxterm
Penicillin G benzathine (Injectable),rxterm
PRED-G (Ophthalmic),rxterm
MAG-G (Oral Pill),rxterm
Hylan G-F 20 (Injectable),rxterm
Penicillin G potassium (Injectable),rxterm
Penicillin G benzathine/Penicillin G procaine (Injectable),rxterm
Immunoglobulin G (Injectable),rxterm
Penicillin G sodium (Injectable),rxterm
OPTIFLEX-G (Oral Pill),rxterm
Hyaluronidase/Immunoglobulin G (Pack),rxterm
Penicillin G procaine (Injectable),rxterm
AMBIFED-G CD (Oral Pill),rxterm
FULVICIN P/G (Oral Pill),rxterm
HYQVIA 30 G / 300 ML KIT (Pack),rxterm
HYQVIA 5 G / 50 ML KIT (Pack),rxterm
HYQVIA 10 G / 100 ML KIT (Pack),rxterm
HYQVIA 20 G / 200 ML KIT (Pack),rxterm
HYQVIA 2.5 G / 25 ML KIT (Pack),rxterm
Coagulation factor IX recombinant immunoglobulin G1 fusion protein (Injectable),rxterm
"Rotavirus vaccine, live attenuated, G1P[8] human 89-12 strain (Oral Liquid)",rxterm
GLUCOPHAGE (Oral Pill),rxterm
Gabapentin (Oral Pill),rxterm
"Insulin analog, glargine (Injectable)",rxterm
GLUCOPHAGE XR (Oral Pill),rxterm
GLUMETZA XR (Oral Pill),rxterm
Codeine/guaiFENesin (Oral Liquid),rxterm
Glimepiride (Oral Pill),rxterm
glipiZIDE XR (Oral Pill),rxterm
GLUCOTROL XR (Oral Pill),rxterm
Gemfibrozil (Oral Pill),rxterm
glyBURIDE (Oral Pill),rxterm
glyBURIDE/metFORMIN (Oral Pill),rxterm
Polyethylene glycol 3350 (Oral Solution Powder),rxterm
GAVILAX (Oral Solution Powder),rxterm
glipiZIDE (Oral Pill),rxterm
Gatifloxacin (Ophthalmic),rxterm
GLUCOTROL (Oral Pill),rxterm
GEODON (Oral Pill),rxterm
GAVILYTE-C (Oral Solution Powder),rxterm
guanFACINE (Oral Pill),rxterm
GENERLAC (Oral Liquid),rxterm
Gentamicin (Ophthalmic),rxterm
GAVILYTE-N (Oral Solution Powder),rxterm
GENGRAF (Oral Pill),rxterm
Montelukast (Oral Granules),rxterm
SINGULAIR (Oral Granules),rxterm
GLUCAGEN (Injectable),rxterm
Glucagon (Injectable),rxterm
GOLYTELY (Oral Solution Powder),rxterm
Glycopyrronium (Oral Pill),rxterm
Griseofulvin (Oral Pill),rxterm
"Insulin analog, glulisine (Injectable)",rxterm
glipiZIDE/metFORMIN (Oral Pill),rxterm
GLYNASE (Oral Pill),rxterm
GIANVI 28-DAY (Pack),rxterm
Griseofulvin (Oral Liquid),rxterm
Chorionic gonadotropin (Injectable),rxterm
GRIS-PEG (Oral Pill),rxterm
GLEEVEC (Oral Pill),rxterm
GENTAK (Ophthalmic),rxterm
GERI-HYDROLAC (Topical),rxterm
Glimepiride/Pioglitazone (Oral Pill),rxterm
Esomeprazole (Oral Suspension Granules),rxterm
NexIUM (Oral Suspension Granules),rxterm
Galantamine XR (Oral Pill),rxterm
Gentamicin (Topical),rxterm
Ganirelix (Injectable),rxterm
guanFACINE XR (Oral Pill),rxterm
Galantamine (Oral Pill),rxterm
GYNECORT (Topical),rxterm
Gemifloxacin (Oral Pill),rxterm
Ferrous gluconate (Oral Pill),rxterm
Golimumab (Injectable),rxterm
Granisetron (Oral Pill),rxterm
guaiFENesin XR (Oral Pill),rxterm
GELNIQUE (Topical),rxterm
EVAC-U-GEN REFORMULATED JAN 2008 (Oral Pill),rxterm
Carbetapentane/guaiFENesin (Oral Liquid),rxterm
GEL-KAM (Mouthwash),rxterm
GINGI MED (Mouthwash),rxterm
Gabapentin (Oral Liquid),rxterm
GENPRIL (Oral Pill),rxterm
GONAL F (Injectable),rxterm
guaiFENesin (Oral Liquid),rxterm
Pantoprazole (Oral Granules),rxterm
PROTONIX (Oral Granules),rxterm
Granisetron (Transdermal),rxterm
GENOTROPIN (Injectable),rxterm
GENGRAF (Oral Liquid),rxterm
Gentamicin (Injectable),rxterm
GAS-X (Chewable),rxterm
PERSA-GEL (Topical),rxterm
GASTROCROM (Oral Liquid),rxterm
MI-ACID GAS RELIEF (Chewable),rxterm
Polyethylene glycol 400/Propylene glycol (Ophthalmic),rxterm
Fosfomycin (Oral Solution Granules),rxterm
Rho(D) immune globulin (Injectable),rxterm
Interferon gamma-1b (Injectable),rxterm
Glucose (Injectable),rxterm
Granisetron (Injectable),rxterm
guaiFENesin (Oral Pill),rxterm
GALZIN (Oral Pill),rxterm
GABARONE (Oral Pill),rxterm
"LAMICTAL GREEN (FOR PATIENTS TAKING CARBAMAZEPINE, PHENYTOIN, PHENOBARBITAL, PRIMIDONE, OR RIFAMPIN AND NOT TAKING VALPROATE) (Pack)",rxterm
Glycopyrronium (Injectable),rxterm
Gentamicin/prednisoLONE (Ophthalmic),rxterm
Goserelin (Implant),rxterm
COMFORT GEL (Oral Liquid),rxterm
Gefitinib (Oral Pill),rxterm
Magnesium gluconate (Oral Pill),rxterm
Glucose (Oral Gel),rxterm
Sodium ferric gluconate complex (Injectable),rxterm
Omeprazole (Oral Suspension Granules),rxterm
PriLOSEC (Oral Suspension Granules),rxterm
GORMEL (Topical),rxterm
Stannous fluoride (Oral Gel),rxterm
GEL-KAM (Oral Gel),rxterm
PERFECT CHOICE (Oral Gel),rxterm
GEODON (Injectable),rxterm
Codeine/guaiFENesin (Oral Pill),rxterm
Zinc gluconate (Oral Pill),rxterm
Glucose (Chewable),rxterm
Calcium gluconate (Oral Pill),rxterm
Ganciclovir (Injectable),rxterm
GAS-X (Oral Pill),rxterm
GAS AIDE (Oral Pill),rxterm
guaiFENesin (Oral Granules),rxterm
MUCINEX (Oral Granules),rxterm
Galantamine (Oral Liquid),rxterm
guaiFENesin/HYDROcodone (Oral Liquid),rxterm
Cytomegalovirus immune globulin (Injectable),rxterm
Ganciclovir (Ophthalmic),rxterm
GELUSIL (Chewable),rxterm
LaMICtal ODT GREEN TITRATION KIT (FOR PATIENTS TAKING ENZYME-INDUCING DRUGS AND NOT TAKING VALPROATE) (Pack),rxterm
Calcium gluconate (Injectable),rxterm
FUNGI-GUARD (Topical),rxterm
GONAK (Ophthalmic),rxterm
GONIOSOFT (Ophthalmic),rxterm
"LaMICtal XR GREEN PATIENT TITRATION KIT (FOR PATIENTS TAKING carBAMazepine, PHENYTOIN, PHENobarbital, OR PRIMIDONE, AND NOT TAKING VALPROATE) (Pack)",rxterm
Dextromethorphan/guaiFENesin (Oral Liquid),rxterm
Dextran 70/Glycerin/Hypromellose (Ophthalmic),rxterm
Bisacodyl/Polyethylene glycol 3350/Potassium chloride/Sodium bicarbonate/Sodium chloride (Pack),rxterm
Benzocaine/Menthol (Oral Gel),rxterm
GAS-X PREVENTION (Oral Pill),rxterm
GILENYA (Oral Pill),rxterm
GLASSIA (Injectable),rxterm
DOCTOR'S CHOICE (Oral Gel),rxterm
KID'S CHOICE (Oral Gel),rxterm
GLUTOSE (Oral Gel),rxterm
GENTEAL (Ophthalmic),rxterm
Glycerin (Rectal),rxterm
Propylene glycol (Ophthalmic),rxterm
Benzocaine (Oral Gel),rxterm
Glycerin/Hypromellose/Naphazoline (Ophthalmic),rxterm
Glycerin/Naphazoline/Zinc sulfate (Ophthalmic),rxterm
Naphazoline/Polyethylene glycol 300 (Ophthalmic),rxterm
Glycerin/Naphazoline (Ophthalmic),rxterm
GABLOFEN (Injectable),rxterm
ORAJEL (Oral Gel),rxterm
GLY-OXIDE (Mucosal),rxterm
Colestipol (Oral Suspension Granules),rxterm
COLESTID (Oral Suspension Granules),rxterm
TOPICALE (Oral Gel),rxterm
Fructose/Glucose/Sodium citrate (Chewable),rxterm
GENTLELAX (Oral Solution Powder),rxterm
GENAPHED (Oral Pill),rxterm
ANBESOL (Oral Gel),rxterm
Magnesium sulfate (Oral Solution Granules),rxterm
"Lymphocyte immune globulin, anti-thymocyte globulin (Injectable)",rxterm
